id;palabra;lemma;nominacion;nominacion_agrup;diccionarios;obs
5648; Empleados de Casinos;Empleados de Casinos;;gastronomía_turismo_y_ocio;RAMAS;
5649; Maestranza y Servicios de los Casinos;Maestranza y Servicios de los Casinos;;gastronomía_turismo_y_ocio;RAMAS;
5650; Guardavidas y Afines;Guardavidas y Afines;;gastronomía_turismo_y_ocio;RAMAS;
5651; Trabajadores de Juegos de Azar;Trabajadores de Juegos de Azar;;gastronomía_turismo_y_ocio;RAMAS;
5652; Mozos de Cordel;Mozos de Cordel;;gastronomía_turismo_y_ocio;RAMAS;
5653; Trabajadores del Turismo;Trabajadores del Turismo;;gastronomía_turismo_y_ocio;RAMAS;
5654; Guardavidas Agremiados;Guardavidas Agremiados;;gastronomía_turismo_y_ocio;RAMAS;
5655; AECN;AECN;;gastronomía_turismo_y_ocio;RAMAS;
5656; AMS;AMS;;gastronomía_turismo_y_ocio;RAMAS;
5657; ALEARA;ALEARA;;gastronomía_turismo_y_ocio;RAMAS;
5658; SGAMMC;SGAMMC;;gastronomía_turismo_y_ocio;RAMAS;
5659; UTHGRA;UTHGRA;;gastronomía_turismo_y_ocio;RAMAS;
5660; UGA;UGA;;gastronomía_turismo_y_ocio;RAMAS;
5661; Luz y Fuerza;Luz y Fuerza;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5662; Industria del Gas;Industria del Gas;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5663; Industria del Hielo;Industria del Hielo;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5664; Trabajadores Gráficos;Trabajadores Gráficos;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5665; Unión Grafica;Unión Grafica;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5666; SLyFGP;SLyFGP;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5667; SLyF;SLyF;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5668; STIGAS;STIGAS;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5669; STIHMPRA;STIHMPRA;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5670; STGyA;STGyA;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5671; UGM;UGM;;industrias_varias_(energía_ gas_gráfica_hielo);RAMAS;
5672; Industria Metalmecánica;Industria Metalmecánica;;metalmecánica_petroquímica_y_afines;RAMAS;
5673; Mecánicos y Afines;Mecánicos y Afines;;metalmecánica_petroquímica_y_afines;RAMAS;
5674; Sindicato Químico y Petroquímico;Sindicato Químico y Petroquímico;;metalmecánica_petroquímica_y_afines;RAMAS;
5675; Petroleros e Hidrocarburos;Petroleros e Hidrocarburos;;metalmecánica_petroquímica_y_afines;RAMAS;
5676; Unión Obrera Metalúrgica;Unión Obrera Metalúrgica;;metalmecánica_petroquímica_y_afines;RAMAS;
5677; ASIMRA;ASIMRA;;metalmecánica_petroquímica_y_afines;RAMAS;
5678; SMATA;SMATA;;metalmecánica_petroquímica_y_afines;RAMAS;
5679; SIQyP;SIQyP;;metalmecánica_petroquímica_y_afines;RAMAS;
5680; SUPeH;SUPeH;;metalmecánica_petroquímica_y_afines;RAMAS;
5681; UOM;UOM;;metalmecánica_petroquímica_y_afines;RAMAS;
5682; Capitanes, Pilotos y Patrones de Pesca;Capitanes, Pilotos y Patrones de Pesca;;portuario_naval;RAMAS;
5683; Patrones de Pesca;Patrones de Pesca;;portuario_naval;RAMAS;
5684; Buzos Profesionales;Buzos Profesionales;;portuario_naval;RAMAS;
5685; Marineros Pescadores;Marineros Pescadores;;portuario_naval;RAMAS;
5686; Centro de Patrones y Oficiales;Centro de Patrones y Oficiales;;portuario_naval;RAMAS;
